City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,Tabou,4.423,-7.3528,24.78,86,14,2.56,CI,2023-07-15
107,Ceerigaabo,10.6162,47.368,20.01,55,1,11.28,SO,2023-07-15
108,Santa Barbara,34.7333,-120.0343,32.35,34,0,3.6,US,2023-07-15
109,Fort Bragg,35.139,-79.006,31.92,94,100,3.09,US,2023-07-15
110,Borogontsy,62.6683,131.1683,8.16,91,61,1.67,RU,2023-07-15
111,Acapulco De Juarez,16.8634,-99.8901,30.9,66,100,3.6,MX,2023-07-15
112,Port Mathurin,-19.6833,63.4167,23.51,80,19,7.41,MU,2023-07-15
113,New Norfolk,-42.7826,147.0587,12.73,78,99,5.44,AU,2023-07-15
114,Inderbor,48.55,51.7833,20.0,69,35,10.39,KZ,2023-07-15
115,Bel Ombre,-4.6167,55.4167,25.91,83,40,4.63,SC,2023-07-15
116,Yuzhno-Kurilsk,44.0306,145.8556,13.04,98,100,2.25,RU,2023-07-15
117,Tailai,46.3833,123.4,17.61,95,100,6.4,CN,2023-07-15
118,Alofi,-19.0595,-169.9187,22.94,83,75,6.69,NU,2023-07-15
119,Tibiri,13.5627,7.0485,35.56,29,23,2.92,NE,2023-07-15
120,Oum Hadjer,13.2954,19.6966,30.84,45,41,3.17,TD,2023-07-15
121,Broome,42.2506,-75.833,32.88,51,0,4.63,US,2023-07-15
122,Badger,64.8,-147.5333,18.41,75,100,2.06,US,2023-07-15
123,Minas De Marcona,-15.2119,-75.1103,18.45,56,8,4.5,PE,2023-07-15
124,Bang Saphan,11.2126,99.5117,27.18,80,100,4.08,TH,2023-07-15
125,Zaragoza,41.6561,-0.8773,24.25,49,0,13.38,ES,2023-07-15
126,Kingston,17.997,-76.7936,33.47,66,20,10.29,JM,2023-07-15
127,Namdrik,5.5994,168.1028,26.58,87,100,8.56,MH,2023-07-15
128,Baiti,13.745,-14.7482,27.83,73,88,4.01,SN,2023-07-15
129,Bilibino,68.0546,166.4372,23.55,47,8,1.19,RU,2023-07-15
130,Antsiranana,-12.2787,49.2917,21.24,68,11,3.45,MG,2023-07-15
131,El Alto,-4.2714,-81.2147,26.81,69,85,6.16,PE,2023-07-15
132,Whitehorse,60.7161,-135.0538,24.5,38,75,5.66,CA,2023-07-15
133,Bredasdorp,-34.5322,20.0403,14.63,51,95,4.0,ZA,2023-07-15
134,Aykhal,66.0,111.5,4.27,68,15,1.45,RU,2023-07-15
135,Belomorsk,64.5232,34.7668,14.56,92,7,2.18,RU,2023-07-15
136,Ixtapa,20.7,-105.2,33.46,74,40,5.66,MX,2023-07-15
137,Gadzhiyevo,69.2551,33.3362,14.98,92,95,1.12,RU,2023-07-15
138,Enewetak,11.3474,162.3373,27.64,81,62,7.48,MH,2023-07-15
139,Remire-Montjoly,4.9167,-52.2667,30.02,70,20,4.12,GF,2023-07-15
140,Sorong,-0.8833,131.25,24.02,90,100,1.13,ID,2023-07-15
141,Arraial Do Cabo,-22.9661,-42.0278,19.98,73,0,4.12,BR,2023-07-15
142,Tommot,58.9564,126.2925,8.83,85,25,1.16,RU,2023-07-15
143,Papatowai,-46.5619,169.4708,8.26,84,95,7.56,NZ,2023-07-15
144,Nova Sintra,14.8667,-24.7167,22.8,76,80,1.97,CV,2023-07-15
145,Aswan,24.0934,32.907,38.61,13,0,2.57,EG,2023-07-15
146,Punta Del Este,-34.9667,-54.95,11.09,78,75,6.26,UY,2023-07-15
147,Cockburn Town,21.4612,-71.1419,28.34,82,0,6.99,TC,2023-07-15
148,Barro Alto,-11.7608,-41.9117,27.58,34,10,5.37,BR,2023-07-15
149,Bamboo Flat,11.7,92.7167,28.05,83,40,4.12,IN,2023-07-15
150,Olonkinbyen,70.9221,-8.7187,4.47,96,100,7.42,SJ,2023-07-15
151,Chonchi,-42.6128,-73.8092,8.95,82,39,2.1,CL,2023-07-15
152,Tura,25.5198,90.2201,23.52,92,100,2.63,IN,2023-07-15
153,Kununurra,-15.7667,128.7333,17.99,88,100,1.03,AU,2023-07-15
154,Khandyga,62.6667,135.6,9.39,91,52,1.64,RU,2023-07-15
155,Crane,31.3974,-102.3501,38.97,17,27,7.11,US,2023-07-15
156,San Luis De La Loma,17.2706,-100.8939,32.15,59,47,3.27,MX,2023-07-15
157,Luimneach,52.6647,-8.6231,13.97,92,100,7.54,IE,2023-07-15
158,Mount Isa,-20.7333,139.5,15.87,59,1,1.54,AU,2023-07-15
159,Port Lincoln,-34.7333,135.8667,10.61,63,70,1.19,AU,2023-07-15
160,Barcelos,41.5388,-8.6151,18.84,71,88,4.19,PT,2023-07-15
161,Ust-Nera,64.5667,143.2,19.9,72,58,3.64,RU,2023-07-15
162,Roanoke Rapids,36.4615,-77.6542,33.44,50,94,4.54,US,2023-07-15
163,Nadym,65.5333,72.5167,11.58,55,64,4.37,RU,2023-07-15
164,Nemuro,43.3236,145.575,13.3,99,100,4.64,JP,2023-07-15
165,Coquimbo,-29.9533,-71.3436,15.85,77,0,4.12,CL,2023-07-15
166,Lebu,-37.6167,-73.65,10.03,74,23,5.11,CL,2023-07-15
167,Al Ghayzah,16.2079,52.176,26.57,86,0,5.64,YE,2023-07-15
168,Utrik,11.2278,169.8474,28.25,76,29,7.5,MH,2023-07-15
169,Shetpe,44.1667,52.1167,26.83,40,11,5.78,KZ,2023-07-15
170,Lobujya,27.95,86.8167,4.53,92,100,1.12,NP,2023-07-15
171,Wynyard,-41.0,145.7167,10.32,79,12,5.46,AU,2023-07-15
172,Susuman,62.7833,148.1667,17.83,79,100,3.06,RU,2023-07-15
173,Krasnovishersk,60.4078,57.082,10.74,74,54,1.68,RU,2023-07-15
174,Itaporanga,-7.3044,-38.1503,32.9,25,0,1.17,BR,2023-07-15
175,Carnarvon,-24.8667,113.6333,13.82,39,0,7.01,AU,2023-07-15
176,Happy Valley-Goose Bay,53.3168,-60.3315,27.17,54,75,4.63,CA,2023-07-15
177,Cidreira,-30.1811,-50.2056,13.52,79,99,3.32,BR,2023-07-15
178,Georgetown,5.4112,100.3354,26.96,94,20,1.54,MY,2023-07-15
179,Puerto Aysen,-45.4,-72.7,4.92,93,93,1.71,CL,2023-07-15
180,Ardakan,32.31,54.0175,33.55,11,0,3.36,IR,2023-07-15
181,Salinas,36.6777,-121.6555,39.45,59,0,6.69,US,2023-07-15
182,Qaqortoq,60.7167,-46.0333,6.77,88,100,2.97,GL,2023-07-15
183,Sikandra,26.3667,79.65,27.34,84,53,1.06,IN,2023-07-15
184,Wuppertal,51.2667,7.1833,22.79,60,0,3.69,DE,2023-07-15
185,Bima,-8.4667,118.7167,21.34,94,94,1.77,ID,2023-07-15
186,Papao,-17.75,-149.55,26.82,69,6,5.06,PF,2023-07-15
187,Muisne,0.6,-80.0333,25.91,86,99,1.22,EC,2023-07-15
188,Geneina,13.45,22.45,25.39,68,67,7.64,SD,2023-07-15
189,Brisas De Zicatela,15.8369,-97.0419,32.29,62,40,3.6,MX,2023-07-15
190,Konya,38.1667,32.5,24.71,34,0,4.98,TR,2023-07-15
191,Karratha,-20.7377,116.8463,17.65,44,2,8.55,AU,2023-07-15
192,Muang Xay,20.7,101.9833,21.39,99,97,0.24,LA,2023-07-15
193,Port Elizabeth,-33.918,25.5701,13.39,81,100,2.44,ZA,2023-07-15
194,South Hedland,-20.4089,118.5983,17.96,34,0,6.17,AU,2023-07-15
195,Coxen Hole,16.3244,-86.5366,31.6,66,20,10.29,HN,2023-07-15
196,Zima,53.9202,102.0442,16.49,85,70,2.56,RU,2023-07-15
197,Tual,-5.6667,132.75,25.98,81,98,7.79,ID,2023-07-15
198,Codrington,-38.2667,141.9667,7.3,86,51,3.43,AU,2023-07-15
199,Dimako,4.3833,13.5667,20.88,96,79,1.1,CM,2023-07-15
200,Pisco,-13.7,-76.2167,22.03,68,100,5.14,PE,2023-07-15
201,Xai-Xai,-25.0519,33.6442,16.35,76,0,2.78,MZ,2023-07-15
